"","x"
"1","MIR1302-2HG"
"2","FAM138A"
"3","OR4F5"
"4","AL627309.1"
"5","AL627309.3"
"6","AL627309.2"
"7","AL627309.5"
"8","AL627309.4"
"9","AP006222.2"
"10","AL732372.1"
"11","OR4F29"
"12","AC114498.1"
"13","OR4F16"
"14","AL669831.2"
"15","AL645608.6"
"16","AL645608.2"
"17","AL645608.4"
"18","AL645608.7"
"19","AL645608.1"
"20","AL645608.5"
"21","AL645608.8"
"22","AL390719.3"
"23","AL390719.2"
"24","AL162741.1"
"25","AL139287.1"
"26","AL391244.2"
"27","AL391244.1"
"28","AL645728.1"
"29","AL691432.4"
"30","AL691432.2"
"31","FO704657.1"
"32","AL109917.1"
"33","AL391845.2"
"34","AL391845.1"
"35","AL590822.2"
"36","AL590822.1"
"37","AL590822.3"
"38","AL589739.1"
"39","AL513477.2"
"40","AL139246.1"
"41","AL139246.4"
"42","AL139246.5"
"43","AL139246.3"
"44","AL831784.1"
"45","AC242022.2"
"46","AC242022.1"
"47","AL592464.2"
"48","AL592464.3"
"49","AL592464.1"
"50","AL589702.1"
"51","ACTRT2"
"52","AL008733.1"
"53","AL590438.1"
"54","AL354743.2"
"55","AL354743.1"
"56","AL512413.1"
"57","AL513320.1"
"58","AL136528.1"
"59","AL136528.2"
"60","AL365330.1"
"61","AL805961.1"
"62","LINC01777"
"63","AL355602.1"
"64","Z98747.1"
"65","Z98886.1"
"66","BX005132.1"
"67","LINC02781"
"68","LINC02782"
"69","AL139823.1"
"70","Z98259.3"
"71","Z98259.2"
"72","Z98259.1"
"73","AL365255.1"
"74","AL031847.1"
"75","LINC00337"
"76","AL031848.2"
"77","AL031848.1"
"78","LINC01672"
"79","AL591163.1"
"80","AL512330.1"
"81","CAMTA1-IT1"
"82","Z97987.1"
"83","AL365194.1"
"84","AL359881.3"
"85","AL359881.2"
"86","AL359881.1"
"87","Z98884.2"
"88","Z98884.1"
"89","AL034417.4"
"90","AL034417.3"
"91","AL034417.2"
"92","AL358876.2"
"93","AL357552.2"
"94","BX323043.1"
"95","AL928921.1"
"96","AL357140.1"
"97","AL357140.4"
"98","AL357140.2"
"99","AL603962.1"
"100","AL139424.3"
"101","AL139424.2"
"102","AL139424.1"
"103","AL354956.1"
"104","AL139423.2"
"105","AL139423.1"
"106","AL109811.2"
"107","AL109811.1"
"108","AL031291.1"
"109","AL590989.1"
"110","AL031731.1"
"111","AL953897.1"
"112","NPPB"
"113","AL021155.5"
"114","AL096840.2"
"115","AL357835.1"
"116","AC254633.1"
"117","AADACL3"
"118","C1orf158"
"119","PRAMEF1"
"120","LINC01784"
"121","PRAMEF11"
"122","HNRNPCL1"
"123","PRAMEF2"
"124","PRAMEF10"
"125","PRAMEF7"
"126","PRAMEF27"
"127","HNRNPCL3"
"128","PRAMEF25"
"129","HNRNPCL2"
"130","AC245056.1"
"131","PRAMEF26"
"132","HNRNPCL4"
"133","PRAMEF13"
"134","PRAMEF8"
"135","PRAMEF33"
"136","AC243961.1"
"137","PRAMEF14"
"138","AL354712.1"
"139","AL359771.1"
"140","AL357873.1"
"141","AL031293.1"
"142","C1orf195"
"143","AL031283.2"
"144","AL031283.3"
"145","AL031283.1"
"146","AL121992.3"
"147","AL121992.1"
"148","AL121992.2"
"149","AL450998.3"
"150","AL450998.2"
"151","AL355994.3"
"152","AL451042.2"
"153","AL451042.1"
"154","ARHGEF19-AS1"
"155","AL109627.1"
"156","AL137802.2"
"157","AL137802.1"
"158","AL137798.1"
"159","AL137798.2"
"160","AL021920.1"
"161","AL021920.3"
"162","BX284668.1"
"163","BX284668.2"
"164","BX284668.5"
"165","BX284668.6"
"166","AL049569.2"
"167","AL049569.1"
"168","AL590644.1"
"169","AL357509.1"
"170","AL591896.1"
"171","AL137127.1"
"172","AL031727.2"
"173","AL391883.1"
"174","Z98257.1"
"175","UBXN10-AS1"
"176","LINC01757"
"177","Z98257.2"
"178","AL020998.1"
"179","AL139254.1"
"180","AL139254.2"
"181","AL139254.3"
"182","AL663074.1"
"183","AL031005.2"
"184","AL031005.1"
"185","AL031728.1"
"186","AL592309.2"
"187","LINC00339"
"188","CDC42-IT1"
"189","AL445253.1"
"190","ZBTB40-IT1"
"191","AL512444.1"
"192","AL031428.1"
"193","AL109936.6"
"194","AL109936.2"
"195","AL021154.1"
"196","AL450043.1"
"197","AL590609.3"
"198","AL591178.1"
"199","AL591178.2"
"200","LINC02800"
"201","AL138902.1"
"202","AL445648.1"
"203","AL445471.1"
"204","AL445471.2"
"205","LINC02793"
"206","AL050344.1"
"207","AL031432.1"
"208","AL031432.4"
"209","AL031432.5"
"210","AL031432.3"
"211","AL606491.1"
"212","AL031280.1"
"213","AL020996.1"
"214","AL020996.3"
"215","AL033528.2"
"216","AL391650.2"
"217","AL391650.1"
"218","AL513365.2"
"219","AL512408.1"
"220","AL034380.1"
"221","AL590640.1"
"222","FO393419.2"
"223","BX293535.1"
"224","AL445490.1"
"225","AL020997.5"
"226","AL020997.2"
"227","AL020997.3"
"228","AL020997.4"
"229","AL512288.1"
"230","AL353622.1"
"231","AL353622.2"
"232","SNHG3"
"233","LINC01715"
"234","AL360012.1"
"235","AL009181.1"
"236","AL357500.1"
"237","AL590729.1"
"238","AC092265.1"
"239","AL645944.2"
"240","AL137076.1"
"241","AL161638.2"
"242","AL161638.1"
"243","AL137857.1"
"244","AL137027.1"
"245","AL445235.1"
"246","AL451070.1"
"247","AC114488.1"
"248","AC114488.2"
"249","AC114488.3"
"250","AL354919.2"
"251","AL354919.1"
"252","AL136115.2"
"253","AL136115.1"
"254","AL136115.3"
"255","AL445248.1"
"256","AL049795.2"
"257","AL049795.1"
"258","AL109945.1"
"259","AC114489.1"
"260","YARS"
"261","AL031602.2"
"262","AL020995.1"
"263","AL662907.3"
"264","AL513327.3"
"265","AL513327.1"
"266","AL513327.2"
"267","HMGB4"
"268","AC099565.1"
"269","AL121988.1"
"270","AL122010.1"
"271","AL590434.1"
"272","AC004865.2"
"273","AL354864.1"
"274","AL139286.3"
"275","AL139286.2"
"276","AL138787.2"
"277","ADPRHL2"
"278","AL591845.1"
"279","AL596257.1"
"280","AC117945.2"
"281","AC117945.1"
"282","AL031430.1"
"283","AL353604.1"
"284","LINC01137"
"285","AL513220.1"
"286","AL929472.3"
"287","AL929472.2"
"288","AL390839.1"
"289","AL390839.2"
"290","LINC01343"
"291","AL354702.2"
"292","AL139260.1"
"293","AL356055.1"
"294","AL442071.2"
"295","AL442071.1"
"296","AL035404.2"
"297","AL033527.3"
"298","AL033527.4"
"299","AL033527.2"
"300","AL050341.2"
"301","AL031985.4"
"302","AL031985.3"
"303","AL603839.3"
"304","AL603839.1"
"305","AL603839.2"
"306","AL356379.2"
"307","AL031289.2"
"308","AL031289.1"
"309","AC119677.1"
"310","AL391730.2"
"311","AC093151.8"
"312","AC093151.3"
"313","AC093151.2"
"314","AL445933.2"
"315","AC119676.1"
"316","AL158216.1"
"317","GUCA2B"
"318","AC096540.1"
"319","AC098484.4"
"320","AC098484.2"
"321","AC098484.1"
"322","AL512353.1"
"323","SLC2A1-AS1"
"324","AC099795.1"
"325","AL139289.3"
"326","AL139289.2"
"327","AL139289.1"
"328","AL451062.1"
"329","AL357079.1"
"330","AL357079.2"
"331","AL139220.2"
"332","KLF18"
"333","ERI3-IT1"
"334","AL592166.1"
"335","TCTEX1D4"
"336","AL604028.1"
"337","AL358075.1"
"338","AL358075.2"
"339","AL135960.1"
"340","FOXE3"
"341","AL691459.1"
"342","AC096541.1"
"343","AL356289.1"
"344","AL109659.1"
"345","AL109659.2"
"346","AL391844.1"
"347","AL645507.1"
"348","AC099788.1"
