




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.8436609 Released 2023-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (576)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
protein localization to CENP-A containing chromatin (GO:0061644)	4	3	.11	+	26.81	6.46E-04	2.71E-02
tRNA aminoacylation for protein translation (GO:0006418)	42	19	1.17	+	16.17	1.39E-15	5.63E-13
tRNA aminoacylation (GO:0043039)	45	19	1.26	+	15.09	3.79E-15	1.46E-12
amino acid activation (GO:0043038)	46	19	1.29	+	14.77	5.22E-15	1.91E-12
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	13	5	.36	+	13.75	9.36E-05	5.25E-03
outer dynein arm assembly (GO:0036158)	24	8	.67	+	11.92	1.69E-06	1.56E-04
nucleosome assembly (GO:0006334)	88	28	2.46	+	11.38	5.01E-19	3.34E-16
intraciliary retrograde transport (GO:0035721)	14	4	.39	+	10.21	1.23E-03	4.74E-02
regulation of translational fidelity (GO:0006450)	18	5	.50	+	9.93	3.28E-04	1.51E-02
axonemal dynein complex assembly (GO:0070286)	41	11	1.15	+	9.59	1.21E-07	1.47E-05
chromosome condensation (GO:0030261)	42	11	1.17	+	9.36	1.49E-07	1.80E-05
nucleosome organization (GO:0034728)	108	28	3.02	+	9.27	4.55E-17	2.12E-14
negative regulation of DNA recombination (GO:0045910)	50	11	1.40	+	7.87	6.71E-07	6.96E-05
protein localization to chromatin (GO:0071168)	35	6	.98	+	6.13	7.91E-04	3.20E-02
axoneme assembly (GO:0035082)	98	15	2.74	+	5.47	4.30E-07	4.74E-05
protein-DNA complex assembly (GO:0065004)	195	29	5.45	+	5.32	3.50E-12	8.81E-10
microtubule bundle formation (GO:0001578)	127	15	3.55	+	4.22	7.87E-06	6.29E-04
tRNA metabolic process (GO:0006399)	199	20	5.57	+	3.59	2.52E-06	2.29E-04
cilium movement (GO:0003341)	181	16	5.06	+	3.16	1.03E-04	5.66E-03
amino acid metabolic process (GO:0006520)	286	23	8.00	+	2.88	1.43E-05	9.93E-04
cilium assembly (GO:0060271)	338	24	9.45	+	2.54	6.10E-05	3.56E-03
peptide biosynthetic process (GO:0043043)	427	29	11.94	+	2.43	2.63E-05	1.69E-03
Unclassified (UNCLASSIFIED)	2800	184	78.32	+	2.35	1.68E-28	2.15E-25
translation (GO:0006412)	398	26	11.13	+	2.34	1.18E-04	6.28E-03
cilium organization (GO:0044782)	371	24	10.38	+	2.31	2.47E-04	1.19E-02
microtubule-based movement (GO:0007018)	392	24	10.97	+	2.19	6.06E-04	2.57E-02
peptide metabolic process (GO:0006518)	522	29	14.60	+	1.99	7.58E-04	3.08E-02
ncRNA metabolic process (GO:0034660)	530	29	14.83	+	1.96	8.83E-04	3.53E-02
chromatin organization (GO:0006325)	751	38	21.01	+	1.81	7.18E-04	2.94E-02
biological_process (GO:0008150)	17792	392	497.68	-	.79	1.68E-28	1.98E-25
nitrogen compound metabolic process (GO:0006807)	6402	130	179.08	-	.73	8.66E-06	6.65E-04
cellular component organization or biogenesis (GO:0071840)	5824	118	162.91	-	.72	2.74E-05	1.75E-03
cellular component organization (GO:0016043)	5610	113	156.92	-	.72	3.35E-05	2.09E-03
metabolic process (GO:0008152)	8001	161	223.80	-	.72	6.70E-08	8.79E-06
primary metabolic process (GO:0044238)	6966	139	194.85	-	.71	7.89E-07	8.02E-05
organonitrogen compound metabolic process (GO:1901564)	4684	93	131.02	-	.71	1.20E-04	6.37E-03
organic substance metabolic process (GO:0071704)	7478	148	209.17	-	.71	9.14E-08	1.16E-05
macromolecule metabolic process (GO:0043170)	5672	112	158.66	-	.71	9.92E-06	7.32E-04
cellular metabolic process (GO:0044237)	6383	123	178.55	-	.69	4.29E-07	4.77E-05
cellular process (GO:0009987)	14924	281	417.45	-	.67	4.81E-32	9.24E-29
macromolecule modification (GO:0043412)	2358	39	65.96	-	.59	2.37E-04	1.15E-02
cell population proliferation (GO:0008283)	1823	29	50.99	-	.57	9.48E-04	3.75E-02
regulation of DNA-templated transcription (GO:0006355)	3459	54	96.76	-	.56	6.76E-07	6.97E-05
regulation of RNA biosynthetic process (GO:2001141)	3477	54	97.26	-	.56	5.29E-07	5.68E-05
regulation of macromolecule metabolic process (GO:0060255)	6058	94	169.45	-	.55	7.33E-13	2.08E-10
protein modification process (GO:0036211)	2137	33	59.78	-	.55	1.21E-04	6.43E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5483	84	153.37	-	.55	9.28E-12	2.23E-09
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4055	62	113.43	-	.55	1.70E-08	2.47E-06
phosphorus metabolic process (GO:0006793)	1712	26	47.89	-	.54	6.63E-04	2.78E-02
biological regulation (GO:0065007)	12153	184	339.94	-	.54	4.39E-38	6.74E-34
regulation of gene expression (GO:0010468)	4909	74	137.31	-	.54	9.69E-11	2.04E-08
regulation of biological process (GO:0050789)	11738	175	328.34	-	.53	7.39E-37	5.68E-33
regulation of metabolic process (GO:0019222)	6584	98	184.17	-	.53	1.39E-15	5.75E-13
cellular response to stress (GO:0033554)	1630	24	45.59	-	.53	5.00E-04	2.19E-02
regulation of cellular biosynthetic process (GO:0031326)	5167	76	144.53	-	.53	4.95E-12	1.21E-09
regulation of macromolecule biosynthetic process (GO:0010556)	5036	74	140.87	-	.53	9.45E-12	2.23E-09
regulation of primary metabolic process (GO:0080090)	5649	83	158.01	-	.53	2.20E-13	6.63E-11
regulation of biosynthetic process (GO:0009889)	5198	76	145.40	-	.52	2.72E-12	6.95E-10
regulation of transcription by RNA polymerase II (GO:0006357)	2607	38	72.92	-	.52	3.75E-06	3.29E-04
regulation of cellular process (GO:0050794)	11189	163	312.98	-	.52	1.16E-35	4.46E-32
regulation of cellular metabolic process (GO:0031323)	6066	88	169.68	-	.52	6.32E-15	2.26E-12
regulation of RNA metabolic process (GO:0051252)	3773	54	105.54	-	.51	4.60E-09	7.35E-07
phosphate-containing compound metabolic process (GO:0006796)	1686	24	47.16	-	.51	2.46E-04	1.19E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1587	21	44.39	-	.47	1.16E-04	6.23E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	2294	30	64.17	-	.47	1.35E-06	1.27E-04
response to stress (GO:0006950)	3436	43	96.11	-	.45	1.71E-10	3.46E-08
localization (GO:0051179)	4495	56	125.73	-	.45	4.84E-14	1.55E-11
response to other organism (GO:0051707)	1379	17	38.57	-	.44	1.16E-04	6.24E-03
response to external biotic stimulus (GO:0043207)	1382	17	38.66	-	.44	1.16E-04	6.22E-03
immune system process (GO:0002376)	2293	28	64.14	-	.44	2.25E-07	2.61E-05
cellular localization (GO:0051641)	2725	33	76.22	-	.43	8.51E-09	1.29E-06
immune response (GO:0006955)	1656	20	46.32	-	.43	1.45E-05	1.00E-03
regulation of response to external stimulus (GO:0032101)	1086	13	30.38	-	.43	5.57E-04	2.41E-02
response to biotic stimulus (GO:0009607)	1426	17	39.89	-	.43	5.11E-05	3.02E-03
negative regulation of macromolecule metabolic process (GO:0010605)	2685	32	75.10	-	.43	6.86E-09	1.09E-06
response to external stimulus (GO:0009605)	2290	27	64.06	-	.42	1.02E-07	1.27E-05
establishment of localization (GO:0051234)	3927	46	109.85	-	.42	2.32E-13	6.84E-11
regulation of response to stress (GO:0080134)	1452	17	40.62	-	.42	3.97E-05	2.44E-03
response to abiotic stimulus (GO:0009628)	1114	13	31.16	-	.42	3.21E-04	1.49E-02
negative regulation of metabolic process (GO:0009892)	2902	33	81.17	-	.41	3.08E-10	5.70E-08
transport (GO:0006810)	3741	42	104.64	-	.40	1.80E-13	5.52E-11
regulation of protein metabolic process (GO:0051246)	2230	25	62.38	-	.40	4.73E-08	6.37E-06
regulation of catalytic activity (GO:0050790)	1433	16	40.08	-	.40	1.73E-05	1.18E-03
regulation of immune system process (GO:0002682)	1531	17	42.83	-	.40	9.69E-06	7.22E-04
macromolecule localization (GO:0033036)	2380	26	66.57	-	.39	7.38E-09	1.13E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1562	17	43.69	-	.39	5.43E-06	4.53E-04
intracellular transport (GO:0046907)	1379	15	38.57	-	.39	1.78E-05	1.20E-03
response to stimulus (GO:0050896)	8194	89	229.20	-	.39	4.69E-36	2.40E-32
protein localization (GO:0008104)	1941	21	54.29	-	.39	1.83E-07	2.18E-05
cellular macromolecule localization (GO:0070727)	1948	21	54.49	-	.39	1.84E-07	2.18E-05
regulation of cellular component organization (GO:0051128)	2436	26	68.14	-	.38	2.15E-09	3.55E-07
regulation of phosphate metabolic process (GO:0019220)	1133	12	31.69	-	.38	1.10E-04	5.96E-03
regulation of phosphorus metabolic process (GO:0051174)	1134	12	31.72	-	.38	1.10E-04	5.96E-03
negative regulation of cellular metabolic process (GO:0031324)	2648	28	74.07	-	.38	3.01E-10	5.64E-08
cellular response to stimulus (GO:0051716)	6476	68	181.15	-	.38	1.16E-27	1.27E-24
developmental process (GO:0032502)	5723	60	160.08	-	.37	7.25E-24	6.95E-21
defense response (GO:0006952)	1434	15	40.11	-	.37	7.52E-06	6.05E-04
transmembrane transport (GO:0055085)	1247	13	34.88	-	.37	3.35E-05	2.08E-03
negative regulation of DNA-templated transcription (GO:0045892)	1343	14	37.57	-	.37	1.36E-05	9.60E-04
negative regulation of biological process (GO:0048519)	5284	55	147.80	-	.37	8.61E-22	7.34E-19
multicellular organismal process (GO:0032501)	6730	70	188.25	-	.37	2.10E-29	2.93E-26
negative regulation of RNA biosynthetic process (GO:1902679)	1357	14	37.96	-	.37	1.01E-05	7.37E-04
regulation of response to stimulus (GO:0048583)	3976	41	111.22	-	.37	4.14E-16	1.77E-13
regulation of cellular component biogenesis (GO:0044087)	973	10	27.22	-	.37	2.63E-04	1.26E-02
cell cycle (GO:0007049)	1265	13	35.38	-	.37	2.53E-05	1.64E-03
cellular catabolic process (GO:0044248)	1071	11	29.96	-	.37	1.08E-04	5.92E-03
nervous system process (GO:0050877)	1466	15	41.01	-	.37	4.17E-06	3.54E-04
regulation of protein modification process (GO:0031399)	1272	13	35.58	-	.37	1.84E-05	1.23E-03
cell cycle process (GO:0022402)	884	9	24.73	-	.36	4.69E-04	2.08E-02
sensory perception (GO:0007600)	984	10	27.52	-	.36	1.95E-04	9.80E-03
negative regulation of cellular process (GO:0048523)	4926	50	137.79	-	.36	7.84E-21	6.02E-18
proteolysis (GO:0006508)	1187	12	33.20	-	.36	3.33E-05	2.08E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	1000	10	27.97	-	.36	1.45E-04	7.58E-03
establishment of localization in cell (GO:0051649)	1808	18	50.57	-	.36	1.06E-07	1.30E-05
catabolic process (GO:0009056)	1930	19	53.99	-	.35	3.05E-08	4.17E-06
monoatomic ion transmembrane transport (GO:0034220)	820	8	22.94	-	.35	6.38E-04	2.68E-02
regulation of molecular function (GO:0065009)	2050	20	57.34	-	.35	8.67E-09	1.31E-06
G protein-coupled receptor signaling pathway (GO:0007186)	1232	12	34.46	-	.35	1.35E-05	9.63E-04
regulation of protein phosphorylation (GO:0001932)	926	9	25.90	-	.35	1.93E-04	9.73E-03
regulation of cell cycle process (GO:0010564)	726	7	20.31	-	.34	1.11E-03	4.32E-02
negative regulation of RNA metabolic process (GO:0051253)	1472	14	41.17	-	.34	1.23E-06	1.18E-04
response to nitrogen compound (GO:1901698)	1060	10	29.65	-	.34	4.37E-05	2.65E-03
phosphorylation (GO:0016310)	744	7	20.81	-	.34	8.29E-04	3.32E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	2138	20	59.80	-	.33	1.27E-09	2.19E-07
regulation of signal transduction (GO:0009966)	3018	28	84.42	-	.33	1.51E-13	4.73E-11
negative regulation of signal transduction (GO:0009968)	1300	12	36.36	-	.33	4.05E-06	3.51E-04
anatomical structure development (GO:0048856)	5214	48	145.85	-	.33	6.56E-25	6.72E-22
regulation of cell cycle (GO:0051726)	1094	10	30.60	-	.33	2.39E-05	1.56E-03
negative regulation of gene expression (GO:0010629)	985	9	27.55	-	.33	8.08E-05	4.54E-03
negative regulation of cellular biosynthetic process (GO:0031327)	2189	20	61.23	-	.33	4.78E-10	8.43E-08
monoatomic ion transport (GO:0006811)	990	9	27.69	-	.33	5.75E-05	3.37E-03
negative regulation of biosynthetic process (GO:0009890)	2203	20	61.62	-	.32	3.44E-10	6.21E-08
chemical homeostasis (GO:0048878)	888	8	24.84	-	.32	1.38E-04	7.30E-03
