




Analysis Type:	PANTHER Overrepresentation Test (Released 20231017)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.8436609 Released 2023-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20592)	upload_1 (576)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
outer dynein arm docking complex (GO:0120228)	3	3	.08	+	35.75	3.77E-04	1.14E-02
CENP-A containing nucleosome (GO:0043505)	4	3	.11	+	26.81	6.46E-04	1.77E-02
CENP-A containing chromatin (GO:0061638)	4	3	.11	+	26.81	6.46E-04	1.74E-02
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	11	8	.31	+	26.00	1.66E-08	1.33E-06
chromosome, centromeric core domain (GO:0034506)	5	3	.14	+	21.45	1.01E-03	2.53E-02
nucleosome (GO:0000786)	99	47	2.77	+	16.97	1.72E-37	3.43E-34
mismatch repair complex (GO:0032300)	11	4	.31	+	13.00	5.83E-04	1.64E-02
cytoplasmic dynein complex (GO:0005868)	23	6	.64	+	9.33	1.10E-04	4.15E-03
dynein axonemal particle (GO:0120293)	20	5	.56	+	8.94	4.96E-04	1.46E-02
dynein complex (GO:0030286)	55	10	1.54	+	6.50	9.59E-06	5.04E-04
axonemal microtubule (GO:0005879)	43	7	1.20	+	5.82	3.86E-04	1.15E-02
ciliary base (GO:0097546)	47	7	1.31	+	5.32	6.22E-04	1.73E-02
axoneme (GO:0005930)	175	19	4.90	+	3.88	1.59E-06	9.05E-05
ciliary plasm (GO:0097014)	176	19	4.92	+	3.86	1.71E-06	9.50E-05
Unclassified (UNCLASSIFIED)	1694	141	47.38	+	2.98	9.16E-31	6.10E-28
plasma membrane bounded cell projection cytoplasm (GO:0032838)	264	19	7.38	+	2.57	2.97E-04	9.12E-03
cytoplasmic region (GO:0099568)	302	19	8.45	+	2.25	1.49E-03	3.50E-02
cilium (GO:0005929)	769	38	21.51	+	1.77	1.22E-03	2.96E-02
intracellular anatomical structure (GO:0005622)	14943	347	417.99	-	.83	3.70E-10	3.52E-08
cellular_component (GO:0005575)	18898	435	528.62	-	.82	9.16E-31	4.57E-28
cellular anatomical entity (GO:0110165)	18747	425	524.39	-	.81	2.18E-32	2.18E-29
membrane-bounded organelle (GO:0043227)	13247	298	370.55	-	.80	1.06E-09	9.19E-08
organelle (GO:0043226)	14098	317	394.35	-	.80	3.71E-11	4.12E-09
intracellular organelle (GO:0043229)	13299	296	372.00	-	.80	1.75E-10	1.75E-08
nucleus (GO:0005634)	7658	168	214.21	-	.78	7.93E-05	3.17E-03
protein-containing complex (GO:0032991)	6529	141	182.63	-	.77	1.88E-04	6.72E-03
intracellular membrane-bounded organelle (GO:0043231)	12165	253	340.28	-	.74	5.59E-13	8.58E-11
cytoplasm (GO:0005737)	12158	240	340.08	-	.71	1.41E-16	2.35E-14
membrane (GO:0016020)	9929	162	277.73	-	.58	3.62E-22	1.20E-19
cytosol (GO:0005829)	5534	85	154.80	-	.55	7.72E-12	9.64E-10
organelle membrane (GO:0031090)	3763	57	105.26	-	.54	4.49E-08	3.45E-06
bounding membrane of organelle (GO:0098588)	2201	33	61.57	-	.54	6.06E-05	2.47E-03
endomembrane system (GO:0012505)	4781	70	133.73	-	.52	3.34E-11	3.93E-09
nuclear lumen (GO:0031981)	4520	65	126.43	-	.51	7.35E-11	7.73E-09
supramolecular complex (GO:0099080)	1434	20	40.11	-	.50	5.71E-04	1.63E-02
organelle lumen (GO:0043233)	5648	74	157.99	-	.47	8.90E-17	1.98E-14
intracellular organelle lumen (GO:0070013)	5648	74	157.99	-	.47	8.90E-17	1.78E-14
membrane-enclosed lumen (GO:0031974)	5648	74	157.99	-	.47	8.90E-17	1.62E-14
