"","x"
"1","MYH16"
"2","ATOSB"
"3","BLTP2"
"4","METTL13"
"5","NME1-NME2"
"6","LDAF1"
"7","ACP3"
"8","ZNF285CP"
"9","STEEP1"
"10","CCT8L1P"
"11","RTEL1-TNFRSF6B"
"12","BMAL2"
"13","SARS1"
"14","CLXN"
"15","ADSS2"
"16","ZZZ3"
"17","ATOSA"
"18","KATNIP"
"19","FHIP1B"
"20","BLTP3A"
"21","KARS1"
"22","POLR1H"
"23","PMS2P4"
"24","PALS1"
"25","IRAG1"
"26","VDAC1P1"
"27","PMS2P1"
"28","DNAAF6"
"29","CROCCP3"
"30","ENSG00000083622"
"31","FER1L4"
"32","DNAAF9"
"33","AARS1"
"34","VNN3P"
"35","HSD17B7P2"
"36","MACROH2A2"
"37","MARCHF2"
"38","GSTT2"
"39","CRYBB2P1"
"40","ENSG00000100101"
"41","TPTEP1"
"42","TAFAZZIN"
"43","CORO7-PAM16"
"44","RRN3P2"
"45","GOLGA8UP"
"46","ENTREP2"
"47","BPNT2"
"48","GFUS"
"49","YJU2B"
"50","CCNP"
"51","ODAD1"
"52","ELOCP28"
"53","POLR1F"
"54","PALS2"
"55","H2AZ2"
"56","NHP2P1"
"57","GARS1"
"58","NSUN5P2"
"59","STAG3L4"
"60","RIGI"
"61","HSD17B1P1"
"62","PTGES3L-AARSD1"
"63","ENSG00000108958"
"64","CRACD"
"65","CARS1"
"66","SPRING1"
"67","BLTP3B"
"68","ENSG00000111780"
"69","ENSG00000111788"
"70","CILK1"
"71","TARS1"
"72","RARS1"
"73","MACROH2A1"
"74","CFAP92"
"75","ABHD14A-ACY1"
"76","DARS1"
"77","LINC02566"
"78","ELAPOR1"
"79","ADPRS"
"80","FMO6P"
"81","MTARC2"
"82","POLR1G"
"83","DNAI7"
"84","IRAG2"
"85","OTUD4P1"
"86","DYNC2I2"
"87","LCN1P1"
"88","DPPA5P4"
"89","TASL"
"90","SEPTIN7P9"
"91","NACA3P"
"92","HYCC1"
"93","ARL4AP1"
"94","NME2P1"
"95","GUCY1B2"
"96","ZNF137P"
"97","PMS2P5"
"98","HMGB1P1"
"99","PEDS1-UBE2V1"
"100","PPP4R1L"
"101","BTN2A3P"
"102","H1-3"
"103","ENSG00000124593"
"104","H1-1"
"105","H2BC11"
"106","ENSG00000124835"
"107","FBXL9P"
"108","PHAF1"
"109","HROB"
"110","MIR9-1HG"
"111","HTR5BP"
"112","ENSG00000125695"
"113","LINC02871"
"114","CHURC1-FNTB"
"115","BPIFB9P"
"116","DYNC2I1"
"117","TUBBP1"
"118","PMS2P3"
"119","YWHAH-AS1"
"120","POM121L9P"
"121","TBC1D27P"
