"","PARSE_ionocyte I","Multiome_ionocyte I","multi_to_parse_ratio"
"GSTP1",0,1.50475466673557,Inf
"RPS13",0,2.15905174825853,Inf
"RPS15",0,2.31115156455981,Inf
"RPS25",0,2.08020343814118,Inf
"COX7C",0,1.40245498537774,Inf
"IFITM3",0,1.60857053180335,Inf
"CLDN3",0,1.37515691446853,Inf
"RPS21",0,1.84202604413209,Inf
"MT1X",0,1.37515691446853,Inf
"MIF",0,1.49252506040689,Inf
"H3F3A",0,2.67549799784553,Inf
"MTRNR2L12",0,2.31656371763325,Inf
"MARCH6",0,1.37515691446853,Inf
"FAM189A2",0,1.57514860983161,Inf
"PALM2-AKAP2",0,1.31821807845894,Inf
"AC084816.1",0,1.41582956851931,Inf
"AC013652.1",0,1.45491240913354,Inf
"LINC01578",0,1.54057092383791,Inf
"H3F3B",0,2.67549799784553,Inf
"RPS18",0.0450256799731109,2.91266439051827,64.6889595505876
"RPL18",0.0450256799731109,2.53833557092634,56.3752856690274
"RPL8",0.0450256799731109,2.38941026195812,53.0677218730525
"RPLP0",0.0450256799731109,2.27242344238007,50.4694974898136
"RPS17",0.0450256799731109,2.26107707756534,50.2174998559854
"RPL31",0.0450256799731109,2.13991482549092,47.5265410043527
"GAPDH",0.0450256799731109,2.05948014251615,45.7401230530235
"CCL19",0.0450256799731109,1.97959435255565,43.9658957674342
"RPS5",0.0450256799731109,1.95665226972278,43.4563624778412
"CCL25",0.0450256799731109,1.90912602568484,42.4008260802493
"RPL39",0.0450256799731109,1.80670845931582,40.1261782252878
"MDK",0.0450256799731109,1.56375504601181,34.7302927339615
"GADD45A",0.0450256799731109,1.56375504601181,34.7302927339615
"RPS23",0.0881110961485198,2.72692891622093,30.9487571420565
"ATP5F1E",0.0450256799731109,1.30346197551709,28.9493012941839
"RPL18A",0.0881110961485198,2.45260868363715,27.8354122334722
"RPLP1",0.12941658423025,3.22438841351582,24.9148007783855
"RPL29",0.0881110961485198,2.15271337838097,24.4318079388363
"FAU",0.0881110961485198,2.00938732066368,22.8051563139864
"RPS11",0.12941658423025,2.8418153766562,21.9586646762383
"RPL41",0.12941658423025,2.8224767655836,21.8092355193213
"RPL28",0.12941658423025,2.66030416645833,20.5561302848581
"RPL35",0.0881110961485198,1.80670845931582,20.5048914187884
"RPL36A",0.0881110961485198,1.77937683666483,20.1946964053826
"RPL27A",0.12941658423025,2.55548351728233,19.7461827051144
"RPL27",0.0881110961485198,1.73209555758808,19.6580865895535
"RPL26",0.12941658423025,2.4666427017176,19.0597110593578
"RPL38",0.0881110961485198,1.67223913732432,18.9787576187408
"RPL21",0.12941658423025,2.44788656623326,18.9147826825512
"RPLP2",0.12941658423025,2.44788656623326,18.9147826825512
"PFN1",0.0881110961485198,1.66190524287483,18.8614750640887
"RPL13",0.169083391743074,3.17301143588367,18.7659556812365
"CST3",0.0881110961485198,1.61946747061387,18.3798357006488
"CLDN4",0.0881110961485198,1.61946747061387,18.3798357006488
"RPS28",0.12941658423025,2.37424081987054,18.3457231079939
"ISG15",0.0881110961485198,1.60857053180335,18.256162981924
"RPL10",0.169083391743074,3.0564510353742,18.0765893318401
"RPL5",0.12941658423025,2.31656371763325,17.9000530064352
"RPS12",0.169083391743074,2.80275678536358,16.5761802887325
"RPS9",0.169083391743074,2.80275678536358,16.5761802887325
"RPL14",0.12941658423025,2.13991482549092,16.5350896735438
"RPL36",0.12941658423025,2.12695034370066,16.4349133177285
"KRT17",0.0881110961485198,1.442053770193,16.3663129075398
"ASCL3",0.12941658423025,2.0733432797146,16.020692340526
"RPS16",0.169083391743074,2.62920590026315,15.5497584544453
"GPX4",0.0881110961485198,1.33275960135507,15.1258996836059
"RARRES2",0.0881110961485198,1.31821807845894,14.9608634562548
"RPS27",0.169083391743074,2.48505351162001,14.6972064257861
"RPSA",0.12941658423025,1.90098065500805,14.6888489316481
"RPS29",0.12941658423025,1.88448812897356,14.5614114310172
"RPS20",0.169083391743074,2.43837490512646,14.4211378775251
"RPS14",0.20723659269904,2.80607057261167,13.540420328599
"RPL22",0.12941658423025,1.71253881900121,13.2327616988745
"RPS8",0.20723659269904,2.6904644275147,12.9825741316927
"RPL19",0.20723659269904,2.64487591625981,12.7625912094629
"RPS4X",0.20723659269904,2.61729011252206,12.6294785994818
"RPS27A",0.20723659269904,2.55122401920403,12.3106830988534
"SLC25A6",0.12941658423025,1.58641382137195,12.2581957390369
"RPL17",0.20723659269904,2.44314204459936,11.7891440540495
"RPL7",0.20723659269904,2.42393559718459,11.6964652121296
