"","PARSE_ionocyte II","Multiome_ionocyte II","multi_to_parse_ratio"
"RPS20",0,2.08855752752881,Inf
"RPL18",0,2.06641072964654,Inf
"RPL31",0,1.94766177240451,Inf
"ACTB",0,2.42092165460318,Inf
"FTL",0,1.65707632451994,Inf
"RPLP0",0,1.3426831996494,Inf
"LGALS1",0,1.3878271992683,Inf
"CST3",0,2.08855752752881,Inf
"WFDC2",0,1.47242598276259,Inf
"RPS16",0,2.17254331137148,Inf
"RPS19",0,2.48186494692418,Inf
"RPL18A",0,2.08855752752881,Inf
"CHCHD2",0,1.3426831996494,Inf
"RPL28",0,2.38899815837196,Inf
"RPL19",0,2.37264592801253,Inf
"PFN1",0,1.3426831996494,Inf
"LGALS3BP",0,1.65707632451994,Inf
"CCL2",0,1.47242598276259,Inf
"RPS13",0,1.89591061036191,Inf
"GAPDH",0,2.04376232107081,Inf
"TPI1",0,1.3426831996494,Inf
"RPS12",0,1.99686601721849,Inf
"RPL24",0,2.06641072964654,Inf
"RPS15",0,1.81288710807459,Inf
"RPL22",0,1.5121845893843,Inf
"ID3",0,1.43102094363254,Inf
"CCN2",0,1.3426831996494,Inf
"RPL21",0,2.02058905187126,Inf
"RPL5",0,2.08855752752881,Inf
"PFDN5",0,1.43102094363254,Inf
"MT2A",0,1.3426831996494,Inf
"IFI6",0,2.21203113934286,Inf
"COX7C",0,1.47242598276259,Inf
"KLF2",0,1.3426831996494,Inf
"GADD45G",0,1.47242598276259,Inf
"RPL36",0,1.78360681190727,Inf
"BST2",0,1.47242598276259,Inf
"CCL25",0,2.15219884068137,Inf
"COX4I1",0,1.43102094363254,Inf
"RPS15A",0,2.52525250048402,Inf
"COX5B",0,1.65707632451994,Inf
"ATP6V1G1",0,1.58725236654505,Inf
"CTSV",0,2.02058905187126,Inf
"RPLP1",0,3.06863219902424,Inf
"RPS24",0,2.49653762645311,Inf
"ARHGAP24",0,1.55042270903134,Inf
"RPS2",0,2.61971943389054,Inf
"IFITM3",0,1.92212092687885,Inf
"RPL13A",0,3.09299293081567,Inf
"RPS8",0,2.46697376994937,Inf
"TMEM61",0,1.3426831996494,Inf
"RPL32",0,1.94766177240451,Inf
"PNRC1",0,1.75344325279041,Inf
"RPL10",0,2.68211873547471,Inf
"SNTG1",0,1.3426831996494,Inf
"RPL7",0,2.25001873225886,Inf
"RPL7A",0,2.08855752752881,Inf
"BTG2",0,2.37264592801253,Inf
"CSTB",0,1.86899477993491,Inf
"IER2",0,1.47242598276259,Inf
"RPL26",0,2.32192091479883,Inf
"RPL29",0,1.65707632451994,Inf
"RPL9",0,2.11022445319899,Inf
"RPS14",0,2.56683559406937,Inf
"CLDN3",0,1.5121845893843,Inf
"FOXI1",0,1.3878271992683,Inf
"UBB",0,2.06641072964654,Inf
"KRT19",0,1.55042270903134,Inf
"TBCA",0,1.47242598276259,Inf
"RPS21",0,1.72234148017201,Inf
"SAA1",0,1.62277364491228,Inf
"RPL4",0,1.3426831996494,Inf
"RPL15",0,2.4050872897801,Inf
"RPLP2",0,2.21203113934286,Inf
"RPS27",0,2.37264592801253,Inf
"RPS17",0,1.99686601721849,Inf
"RPL35A",0,1.78360681190727,Inf
"CALN1",0,1.3426831996494,Inf
"ACTG1",0,2.15219884068137,Inf
"CLDN5",0,1.3426831996494,Inf
"SOCS3",0,1.3426831996494,Inf
"KRT5",0,1.84133440125437,Inf
"RPS23",0,2.42092165460318,Inf
"ISG15",0,1.72234148017201,Inf
"NKAIN2",0,1.55042270903134,Inf
"HLA-DRB1",0,1.3426831996494,Inf
"PSAP",0,1.58725236654505,Inf
"RPL37A",0,2.42092165460318,Inf
"S100A6",0,1.69024125044222,Inf
"RPS4X",0,2.38899815837196,Inf
"RPL39",0,1.43102094363254,Inf
"RPS29",0,1.81288710807459,Inf
"CEBPD",0,2.63251467877096,Inf
"UBA52",0,2.17254331137148,Inf
"RPL41",0,2.63251467877096,Inf
"RPS18",0,2.51099812792658,Inf
"PSMB9",0,1.3426831996494,Inf
"MIF",0,1.43102094363254,Inf
"RPL36A",0,1.3878271992683,Inf
"PEG10",0,1.3426831996494,Inf
