"","PARSE_mTEC I","Multiome_mTEC I","multi_to_parse_ratio"
"H3F3A",0,2.4925466135746,Inf
"MTRNR2L12",0,2.46582113829281,Inf
"AC083837.1",0,2.6377450693589,Inf
"FAM189A2",0,2.06893143505523,Inf
"MTRNR2L8",0,1.57280658669995,Inf
"AC084816.1",0,1.71157002653195,Inf
"AC013652.1",0,1.32042094670383,Inf
"LINC01578",0,1.55065995999109,Inf
"H3F3B",0,2.40896537004228,Inf
"CLDN3",0.0192083474323747,1.41844109843417,73.8450355205185
"CCL25",0.0261027238395836,1.58037692535928,60.5445215247116
"PLCG2",0.0656744861542079,3.05459419959489,46.5111244635019
"MIF",0.0607091118497802,1.76571676180727,29.084872237571
"S100A6",0.0481867275353777,1.32042094670383,27.4021709761137
"RPL39",0.0844832448683573,2.29847142861805,27.206239914193
"GSTP1",0.0812374651396826,1.84163658294836,22.6697937925782
"APOE",0.104534112674604,2.02440688796974,19.3659929392748
"TOMM7",0.0738957111030184,1.36266606698141,18.4403945322579
"RPL41",0.18973271801603,3.45547405630593,18.2123256992186
"MT-ND3",0.212086130667853,3.85952963395058,18.1979350643865
"COX7C",0.086910684661096,1.54147765228015,17.7363422954389
"ATP5F1E",0.0738957111030184,1.30476497700512,17.6568431040084
"UBA52",0.144232038291866,2.41379665487509,16.7355095543374
"ISG15",0.0852930463606337,1.40848094549269,16.5134322854103
"DYNLL1",0.0828616718891978,1.36596982189224,16.48494159904
"CSTA",0.0812374651396826,1.33753374186571,16.4644938091792
"RPS28",0.186080067751568,2.90711013120583,15.6228991440774
"FAU",0.163130896648208,2.46453923169534,15.1077403626985
"RPS15",0.202052869651854,2.99560050930321,14.8258251143117
"RPL18A",0.204929802434318,3.02981046407803,14.7846258967098
"RPS21",0.156368380218215,2.29955259933706,14.7059948829041
"RPL36AL",0.105327845024975,1.47077403389709,13.9637721966907
"RPL29",0.18973271801603,2.61230522318125,13.7683434385869
"COX4I1",0.147279960194878,1.85453509541138,12.5919038337429
"RPS5",0.19988972539759,2.48593190704229,12.4365166948809
"RPL18",0.245051433556084,2.99678500967467,12.2292082367631
"RPL36A",0.170591554457675,2.07868201587946,12.1851402461732
"CALML3",0.177996962795222,2.15693763555617,12.1178339320185
"NME2",0.123411938495322,1.47176358579498,11.9256176002029
"RPLP0",0.239516506788099,2.7778597073789,11.597779813299
"PFDN5",0.147279960194878,1.68715087576951,11.4554001341194
"RPL8",0.256712408566859,2.90793379467904,11.3275934377815
"MT2A",0.131946594162259,1.46531392543559,11.105356183985
"CSTB",0.156368380218215,1.73464693526143,11.0933357040643
"RPS29",0.216355473653711,2.30965887126503,10.6752966877176
"RPS11",0.29615943725344,3.1491181062097,10.633185068875
"RPS14",0.313705222239669,3.33442139600431,10.6291548868665
"S100A14",0.155614158767491,1.64105068481344,10.5456386347556
"GPX4",0.188273258542072,1.92610762641254,10.2303834401535
"RPS13",0.272946854187012,2.70680865161335,9.91698057732056
"CLDN4",0.157875118711878,1.5556745195292,9.85382961053103
"RPL27A",0.309185792459853,3.03282545281996,9.80907120178804
"RPS27",0.314992745176106,3.0465375492769,9.67177052783754
"MDK",0.16163206238551,1.53778099026502,9.51408382451526
"RPS17",0.292876161253742,2.76056458954612,9.42570599713106
"CHCHD2",0.138108182625598,1.30007870497997,9.41348065164539
"MT1X",0.157875118711878,1.47571203023006,9.34733758093466
"RPL36",0.286277091501603,2.65485748050598,9.27373359349334
"RPS18",0.385169934921435,3.54277384178696,9.19795010093296
"GABARAP",0.145757160471414,1.33243058197801,9.14144168059127
"RPL35",0.268238971114275,2.41802896300502,9.01445808921961
"RPL10",0.388164181143645,3.47314007659906,8.94760579496589
"HLA-DPA1",0.196274054164783,1.74899158353456,8.91096681615488
"RPS23",0.357193881253292,3.17222918700227,8.88097292112568
"MT-ATP8",0.175781092809184,1.55749177917547,8.86040560042587
"UQCRB",0.148800444524779,1.31349298052332,8.82721140194305
"RPS16",0.348521716546664,3.02029018647725,8.66600284310507
"EDF1",0.192645262399635,1.63937922414885,8.50983410507146
"GAPDH",0.277632676913698,2.35606104535256,8.48625266861127
"MT-ND1",0.440581874893628,3.7280923877828,8.46174706729118
"RPS27A",0.390553139658787,3.25011543521029,8.32182641791026
"CST3",0.29353367941211,2.44211683827891,8.31971596298588
"RPSA",0.299431968619823,2.48754492133187,8.30754622760474
"PARK7",0.167613967367901,1.38502717531787,8.26319665996468
"FTL",0.276964616470001,2.26301778647473,8.17078302390243
"RPS25",0.320766171783373,2.5749424829608,8.02747518120384
"RPL37",0.340401090532376,2.7108275359936,7.96362764806057
"MT-CO2",0.573235470431044,4.4987937735422,7.8480729222135
"RPL30",0.391745482148245,3.06851396957872,7.83292752414572
"SRP14",0.19988972539759,1.54516069929982,7.73006564607774
"RPL13",0.494160083686826,3.79756470150332,7.68488760397335
"RPL24",0.35162755873005,2.67806692010445,7.61620314908379
"RPL12",0.364567772839036,2.76464505257812,7.58335008892507
"MT-ND2",0.414133985438466,3.14011373379161,7.58236185438149
"S100A11",0.31306083859415,2.37267031045347,7.57894318915239
"PFN1",0.251927287205609,1.89679792370882,7.52914836954823
"RPL26",0.395314003191238,2.97326506134522,7.52127432204031
"RPS9",0.426294861187602,3.19887101604171,7.50389297945107
"IFI27",0.359042458000143,2.68822808715047,7.48721502778203
"RPL27",0.261474741543576,1.94968837809766,7.45650752569052
"RPL38",0.278967460375774,2.04189617826609,7.31947796175087
"HINT1",0.221313445254786,1.61696450793862,7.30621904185304
"RPLP2",0.411216610260736,2.9842227337689,7.25705786027643
"RPL28",0.486602164854369,3.51091476979575,7.21516471437505
"RPL32",0.406531034301767,2.92911432834842,7.20514322695998
"SNHG32",0.190461649771167,1.35824401299796,7.13132546436433
"RPL7",0.405356201847519,2.87917841178358,7.10283547818181
"MT-ATP6",0.644201821377322,4.54499226578485,7.05523038737693
"RPL10A",0.386967558300901,2.71966943123363,7.02815875102082
"TIMP1",0.260116387670223,1.81987870358853,6.99640157196008
"RPS2",0.523310940526323,3.57744994179093,6.83618412065472
"RPL22",0.299431968619823,2.0388154757713,6.80894389857184
"RPL37A",0.456903065503603,3.07768732403778,6.73597433767604
"IFITM3",0.377342674705357,2.52928254467762,6.70287967469511
"RPS7",0.397685962163599,2.63712846260944,6.63118317846126
"RPS15A",0.487685371116186,3.19057156623326,6.54227449745081
