"","PARSE_mTEC II","Multiome_mTEC II","multi_to_parse_ratio"
"PEBP1",0,1.30440367213944,Inf
"COX6A1",0,1.43616372706838,Inf
"FABP6",0,1.31455735071875,Inf
"NPB",0,1.40157940241932,Inf
"CCK",0,1.36383455822652,Inf
"H3F3A",0,2.33045513387764,Inf
"MTRNR2L12",0,2.40649796196047,Inf
"FAM160A1",0,1.32860149405634,Inf
"AC120193.1",0,1.32860149405634,Inf
"AC083837.1",0,2.39490510455936,Inf
"FAM189A2",0,1.48163114245156,Inf
"AC090791.1",0,1.94309108864803,Inf
"AC084816.1",0,2.40852988194415,Inf
"H3F3B",0,2.04640879788035,Inf
"LGALS1",0.0193051343722683,1.66681597244569,86.3405527412469
"COX7C",0.0193051343722683,1.55415813386892,80.5049114862137
"RPL18A",0.038244628132017,2.90327586889283,75.913298434253
"SCGB2A2",0.0193051343722683,1.4415167093033,74.6701204718899
"APOE",0.0193051343722683,1.42356086176947,73.7400131135273
"RPL18",0.0568320747351998,2.75501668673171,48.476440453182
"RPL13",0.0750803234031623,3.35890182688541,44.7374448408934
"FTL",0.038244628132017,1.63799290042927,42.8293587997527
"FAU",0.0568320747351998,2.37760886116345,41.8356864893908
"RPS7",0.0568320747351998,2.31348602451258,40.7074004475801
"MIF",0.038244628132017,1.53651354035951,40.1759309844928
"EEF1B2",0.038244628132017,1.50861711528326,39.4465102412724
"GSTP1",0.0568320747351998,2.17054962107928,38.1923347193045
"MDK",0.038244628132017,1.4415167093033,37.6920048569256
"TSPO",0.038244628132017,1.41263052894785,36.9367045241381
"CALML5",0.0568320747351998,2.01581742440062,35.4697137803433
"RPL39",0.0568320747351998,2.00473347947579,35.2746840374301
"TIMP1",0.0568320747351998,1.85646530237172,32.6658020320677
"CLDN3",0.0930015324789598,2.96526009956859,31.8839918066881
"RPS5",0.0750803234031623,2.38664023382877,31.7878256998591
"S100A6",0.0750803234031623,2.35001478681611,31.3000088478192
"RPL29",0.0750803234031623,2.26703462512327,30.1947903573865
"CCL25",0.0750803234031623,2.22971201936484,29.6976879999817
"S100A11",0.0750803234031623,2.2101025321912,29.4365078893375
"KRT18",0.0568320747351998,1.63359688059205,28.7442766818481
"SH3BGRL3",0.0568320747351998,1.57772795121433,27.7612238962859
"NME2",0.0568320747351998,1.52838918197371,26.8930738336582
"RPS17",0.0930015324789598,2.45351289641204,26.3814243810134
"DYNLL1",0.0568320747351998,1.47476930585574,25.9495947091005
"RPS21",0.0750803234031623,1.91909700283066,25.5605851952128
"RPS15",0.110607218086162,2.78749874179786,25.2017796851777
"CEBPD",0.0750803234031623,1.89111333683022,25.1878688198428
"SLC25A6",0.0568320747351998,1.42717791692646,25.1121910219919
"RPS16",0.110607218086162,2.76832526897461,25.0284322928917
"RPL36AL",0.0568320747351998,1.33257814366908,23.4476420204264
"CYBA",0.0750803234031623,1.70991191415015,22.7744345874532
"WFDC2",0.0750803234031623,1.53651354035951,20.4649297008062
