"","PARSE_muscle","Multiome_muscle","multi_to_parse_ratio"
"TNNC2",0,2.54278384219611,Inf
"ENO3",0,1.50840876073434,Inf
"MYL2",0,1.40291102940479,Inf
"TNNC1",0,2.47319454031738,Inf
"PPP1R14B",0,1.61389275440073,Inf
"PTCHD1-AS",0,1.352196008286,Inf
"H3F3A",0,2.46894624704964,Inf
"MTRNR2L12",0,2.09674410011944,Inf
"AC108734.4",0,1.79639949962444,Inf
"FAM160A1",0,1.87651342448637,Inf
"AL589693.1",0,2.85595109925776,Inf
"PALM2-AKAP2",0,2.11510570516422,Inf
"AC084816.1",0,1.75379962976857,Inf
"C15orf41",0,1.352196008286,Inf
"MYLPF",0,3.41487815504248,Inf
"AC105411.1",0,1.87651342448637,Inf
"H3F3B",0,1.57302445741398,Inf
"AC020909.2",0,1.92900356336412,Inf
"RPL18A",0.023276242737333,2.89005606737641,124.163341136713
"MYBPH",0.023276242737333,2.12716210568549,91.3876921498895
"ACTC1",0.0460230030003056,3.71288509256517,80.6745507793249
"SNHG5",0.023276242737333,1.56254097233074,67.1302920305332
"NDUFA4",0.023276242737333,1.3258402021734,56.9610919225754
"UBA52",0.0460230030003056,1.95068243590788,42.3849446741867
"TNNI1",0.0900207555901834,2.94178389930574,32.6789514264701
"FAU",0.0682638350595377,2.14497846753376,31.4218863569996
"FST",0.0460230030003056,1.42733554826811,31.0135248727388
"MYL6B",0.0460230030003056,1.42733554826811,31.0135248727388
"COX7C",0.0460230030003056,1.40291102940479,30.4828224571846
"RPL41",0.111314374656739,3.24989263240836,29.1956240371477
"MYOG",0.0682638350595377,1.914285402925,28.0424532441727
"RPS15",0.0900207555901834,2.51877202782715,27.9799032046985
"ISG15",0.0682638350595377,1.86878475375168,27.3759121813443
"RPL39",0.0900207555901834,2.45177026047368,27.2356107699794
"ACTA1",0.0900207555901834,2.33230155399841,25.9084867562781
"RPLP0",0.111314374656739,2.67240817409608,24.0077544552264
"RPS21",0.111314374656739,2.59291211337646,23.2935963694917
"TNNI2",0.0900207555901834,2.01972820508,22.436250305149
"RBP1",0.0682638350595377,1.49722158524982,21.9328665602216
"CKM",0.111314374656739,2.29247330308162,20.5945845732048
"RPS29",0.111314374656739,2.27711901528494,20.4566483197422
"RPS14",0.152587807582151,3.11883407058936,20.4396020888512
"SLN",0.111314374656739,2.22958882992518,20.0296577760112
"ANK1",0.0682638350595377,1.36511792114977,19.9976740240151
"RPS13",0.132164013040282,2.57392821442495,19.475257713614
"RPSA",0.132164013040282,2.5584772699008,19.3583503636576
"TPM2",0.152587807582151,2.9311139731435,19.2093589886953
"RPS23",0.152587807582151,2.90117071988987,19.0131227773747
"KRT8",0.0900207555901834,1.70930395032722,18.9878871724735
"RPL18",0.152587807582151,2.85015211580309,18.6787670716654
"RPL36A",0.132164013040282,2.3611651136228,17.8654163058981
"TNNT2",0.132164013040282,2.33230155399841,17.6470243324675
"RPS5",0.152587807582151,2.5584772699008,16.7672457612536
"CYB5R1",0.0900207555901834,1.48590783957203,16.5062804664357
"NDUFS5",0.0900207555901834,1.48590783957203,16.5062804664357
"RPL22",0.132164013040282,2.10902255432246,15.9576158880682
"MT-ND3",0.267076399565684,4.24968614609622,15.9118744786398
"NME2",0.0900207555901834,1.37787498606774,15.30619218906
"RPS18",0.230350903026129,3.50794815174639,15.2287145640079
"RPS28",0.172602805983484,2.61154232779608,15.1303584719589
"RPL13",0.230350903026129,3.44740721888254,14.9658940928549
"RPLP1",0.248882237083981,3.67919040191049,14.7828565228985
"RPL10",0.230350903026129,3.27111301473928,14.2005651888772
"DLK1",0.132164013040282,1.86099588511391,14.0809577607688
"RPS27A",0.211469664222276,2.97312714077442,14.0593552825116
"PEBP1",0.111314374656739,1.51947216667856,13.6502780648426
"RPS3A",0.248882237083981,3.3249904429663,13.3596936524013
"RPL7A",0.211469664222276,2.82064178733063,13.3382809194128
"RPL36",0.192225052302272,2.5388216992017,13.2075484896185
"RACK1",0.192225052302272,2.47319454031738,12.8661405508597
"RPL38",0.152587807582151,1.9435082378787,12.7369825196049
"CST3",0.111314374656739,1.41519785662319,12.7135229478425
"KLF5",0.111314374656739,1.40291102940479,12.6031434280698
"LRRN1",0.172602805983484,2.16248295499432,12.5286662790479
"RPL29",0.211469664222276,2.60413183995646,12.3144463747729
"RPS11",0.230350903026129,2.82064178733063,12.2449782061878
"RPL27",0.172602805983484,2.07803903013708,12.039427854585
"RPS25",0.192225052302272,2.30258006507653,11.9785638630273
"RPS17",0.230350903026129,2.75248054019672,11.9490764048991
"EEF1G",0.230350903026129,2.55066134119168,11.0729383201174
"MYL1",0.211469664222276,2.31755122633642,10.9592609174451
"RPL24",0.248882237083981,2.69981756891287,10.8477712212216
"RPL10A",0.248882237083981,2.60784394827681,10.4782244760876
"RPL26",0.284945440995953,2.98081182134576,10.4609914477912
"RPLP2",0.284945440995953,2.95757831486203,10.3794547634262
"RPS7",0.248882237083981,2.57392821442495,10.3419522605642
"RPL35",0.248882237083981,2.57008780169989,10.3265216184659
"RPL37",0.267076399565684,2.68620677793049,10.0578215907462
"RPL8",0.267076399565684,2.60413183995646,9.75051275287244
"CASQ2",0.192225052302272,1.84523375122282,9.59934061207179
"MIF",0.152587807582151,1.46288894983032,9.587194239243
"RPL15",0.319753233087741,3.00351776592701,9.39323658098192
"RPS8",0.336713082786263,3.1429904180121,9.33432818233318
"COX4I1",0.172602805983484,1.60383119390373,9.29203430248523
"RPL23A",0.248882237083981,2.27711901528494,9.14938342713693
"RPL7",0.284945440995953,2.60413183995646,9.13905423738098
"GAPDH",0.267076399565684,2.42987691309481,9.09805927085375
"EEF1B2",0.211469664222276,1.914285402925,9.05229319753824
"RPL37A",0.369793523486707,3.29189243365313,8.90197427638687
"RPL32",0.319753233087741,2.82064178733063,8.82130810716974
"RPL12",0.284945440995953,2.5065463886727,8.7965835842529
"RPL34",0.302500777195774,2.65841650160983,8.78813114549237
"HS6ST2",0.211469664222276,1.85314587345499,8.76317593953874
"RPS4X",0.336713082786263,2.94971228970511,8.76031387107556
"NEXN",0.192225052302272,1.68162409774888,8.7482046570316
"PFN1",0.192225052302272,1.67222456055427,8.69930605051787
"DES",0.248882237083981,2.16248295499432,8.68877980337597
"RPS20",0.319753233087741,2.75568167997418,8.61815110785138
"RPS16",0.336713082786263,2.89562883549122,8.5996920925383
"RPL31",0.302500777195774,2.58914405523091,8.55913191110664
"TNNT1",0.319753233087741,2.67933127600794,8.37937196173002
"RPS9",0.336713082786263,2.79331677044955,8.295836762074
"PKM",0.192225052302272,1.58339917827998,8.23721548942594
"EDF1",0.172602805983484,1.41519785662319,8.19915903776565
"RPS27",0.319753233087741,2.61522707968893,8.17889174859822
"MYL5",0.267076399565684,2.17398467188383,8.13993552189237
"ARPP21",0.192225052302272,1.54123841683891,8.01788527759289
"BCL2",0.192225052302272,1.51947216667856,7.90465211729638
"RPS3",0.369793523486707,2.90393018729797,7.85284220209541
"RPL6",0.336713082786263,2.6406470381148,7.84242482134564
"MYL4",0.319753233087741,2.5065463886727,7.83900248472203
"HINT1",0.211469664222276,1.6531562063895,7.81746267233804
"MT-CO3",0.626645237762272,4.8811020370975,7.78925896656894
"RPS24",0.385932224619167,3.00600911600695,7.7889559986167
"RPS2",0.448002088826387,3.48663476399508,7.78263059694404
"RPL21",0.369793523486707,2.86744914624478,7.75418974136753
"RPS15A",0.385932224619167,2.9311139731435,7.59489305676895
"MT-CO2",0.651502291927933,4.87995673171219,7.49031398994986
"RPS19",0.417448662940407,3.07800179570268,7.37336604223853
"PPIA",0.230350903026129,1.66273583304964,7.21827356092906
"MT-ATP8",0.230350903026129,1.6531562063895,7.17668645823359
"PRDX1",0.211469664222276,1.50840876073434,7.13297940998692
"RPL30",0.369793523486707,2.62255609973889,7.09194708174268
"RPL27A",0.417448662940407,2.91489253490946,6.98263713285764
"RPL14",0.353390086344439,2.46467982875842,6.97438871093902
"RPS12",0.462935718801402,3.18338801207842,6.8765227714997
"C4orf54",0.230350903026129,1.56254097233074,6.78330734459287
"COL19A1",0.336713082786263,2.26675026476798,6.73199344085734
"EMC10",0.432842060324078,2.89840361674597,6.69621527671287
"ATP5F1E",0.211469664222276,1.41519785662319,6.69220269407376
"RPL13A",0.561657104967302,3.74903844270071,6.67495952520528
"MT-ND1",0.626645237762272,4.17369395225798,6.66037767583154
"CAP2",0.267076399565684,1.73623821997258,6.50090469542059
"ANK2",0.267076399565684,1.70016219965493,6.36582716563392
"RPL35A",0.432842060324078,2.69981756891287,6.23741964191617
"RPL17",0.448002088826387,2.79331677044955,6.23505300559443
"SELENOW",0.353390086344439,2.20217317892534,6.23156467603606
"BTF3",0.284945440995953,1.77105795145022,6.21542827728684
"RPL5",0.462935718801402,2.84431930789654,6.14409126878529
"RPL19",0.477649612902878,2.89005606737641,6.0505776395637
"TP63",0.336713082786263,2.0062951772923,5.95847111341928
"NPNT",0.284945440995953,1.64348392214187,5.76771439612264
"MT-ND2",0.613981101799487,3.50493105308108,5.70853246591572
"RPL3",0.492150143932822,2.75887260514545,5.60575393334037
"MEGF10",0.336713082786263,1.86878475375168,5.55008061548334
"SNHG29",0.284945440995953,1.57302445741398,5.52044086726174
"RPL23",0.448002088826387,2.42987691309481,5.42380710648083
"MT-CYB",0.778160174566466,4.19437817943238,5.39012187531851
"MT-ATP6",0.851136412415787,4.55833067976531,5.35558180013398
"MYH3",0.73393658238908,3.90032937905638,5.3142593960369
"CHCHD2",0.267076399565684,1.41519785662319,5.29885028750037
"HSPB1",0.506443411414382,2.66543680851572,5.2630496289245
"RPL28",0.548136844718785,2.83845227863774,5.17836431903054
"PPP1R9A",0.336713082786263,1.73623821997258,5.15643231206048
"RPL9",0.53443127879062,2.75568167997418,5.15628816900479
"NACA",0.417448662940407,2.121152074914,5.08122857544475
"IFITM3",0.302500777195774,1.49722158524982,4.94948012738769
"NELL1",0.477649612902878,2.31755122633642,4.85199016963855
"CLSTN2",0.53443127879062,2.58536174510396,4.83759436939104
"SLC25A6",0.302500777195774,1.41519785662319,4.67832800213698
"DSTN",0.336713082786263,1.53041451179547,4.54515903905921
"IFI6",0.477649612902878,2.12716210568549,4.45339438832124
"TNNT3",0.711069087425868,3.13208254374893,4.40475137948598
"NUCKS1",0.353390086344439,1.5519464183711,4.39159579835655
"EPB41L3",0.302500777195774,1.3258402021734,4.38293155628932
"TRIM55",0.319753233087741,1.37787498606774,4.3091823427776
"EEF1A1",0.919147410392986,3.94606804321425,4.29318300698589
"BLCAP",0.336713082786263,1.43932768133413,4.27464139327125
"RPL11",0.687666407940563,2.91489253490946,4.23881769016322
"CTSV",0.319753233087741,1.33910493128123,4.18793242010403
"CEBPD",0.448002088826387,1.86099588511391,4.15398930390946
"LINC00882",0.319753233087741,1.31239715199679,4.10440619887858
"BCKDHB",0.462935718801402,1.87651342448637,4.05350753522518
"IFI27",0.687666407940563,2.78714179582846,4.05304339959756
"DNAH11",0.353390086344439,1.41519785662319,4.0046337215126
"SERF2",0.432842060324078,1.71836288589764,3.9699535775499
"PTPRD",0.385932224619167,1.51947216667856,3.93714769005868
"MT-ND4L",0.462935718801402,1.77957668870328,3.84411186354517
"PDE4DIP",0.492150143932822,1.89179384465197,3.84393638399544
"ACTG1",0.506443411414382,1.93628219858873,3.823294281154
"RPL4",0.53443127879062,2.03954535281988,3.81629113744096
"PLCG2",0.81008994008515,3.08492401103176,3.80812531841526
"LDB3",0.477649612902878,1.77957668870328,3.72569482028477
"NNAT",0.639150996999538,2.37995480065886,3.72361900682536
"RPS6",0.788917107263298,2.89840361674597,3.67390133901436
"CFL1",0.369793523486707,1.3258402021734,3.58535268458011
"CD63",0.574997003603771,2.05897740044325,3.58084892188776
"SYNPO2",0.520535256996913,1.85314587345499,3.56007753278079
"AGPAT5",0.369793523486707,1.31239715199679,3.54899983001993
"ZNF106",0.417448662940407,1.47446462689954,3.53208611692219
"GAS5",0.385932224619167,1.33910493128123,3.46979299954194
"PEG10",0.890564291139989,3.04743915327668,3.42191931968857
"COL21A1",0.401814599377055,1.36511792114977,3.39738258208176
"MYL6",0.561657104967302,1.86878475375168,3.32726985419417
"SNTB1",0.588161289431745,1.89179384465197,3.21645419146801
"SERBP1",0.506443411414382,1.59366736859199,3.1467827059715
"HSPA5",0.477649612902878,1.47446462689954,3.08691682578491
"ZEB2",0.675756429394892,2.06537173385091,3.05638488071856
"DMD",0.756292824322334,2.30759539739742,3.05119303421278
"FTH1",0.711069087425868,2.15668210456794,3.03301344792714
"SGCD",0.767286270879353,2.29247330308162,2.98776791673116
"ACTN2",0.663702891757154,1.9435082378787,2.92828050324334
"RBM24",0.548136844718785,1.60383119390373,2.92596859590155
"USP53",0.639150996999538,1.86878475375168,2.92385486766756
"RBFOX1",0.73393658238908,2.14497846753376,2.92256649825454
"MYH8",0.588161289431745,1.70930395032722,2.90618233644494
"MT-ND4",1.37210822906744,3.94897956703607,2.8780379589444
"MEG8",1.08335909090302,3.08031452901858,2.84329965464269
"ANKRD44",0.651502291927933,1.84523375122282,2.83227514942792
"KLHL41",0.937758796606096,2.65488777947292,2.83109877409991
"MT-CO1",1.59589147369453,4.49750479436795,2.81817709318047
"CALM2",0.506443411414382,1.41519785662319,2.79438496923252
"ESRRG",0.588161289431745,1.63371717035108,2.77766864243906
"ATP2B1",0.548136844718785,1.50840876073434,2.7518835401554
"UBB",0.651502291927933,1.7273404933494,2.65131913540601
"TRDN",0.687666407940563,1.82111469382367,2.64825309597074
"SNHG14",0.73393658238908,1.9435082378787,2.6480601791946
"LMO7",0.767286270879353,2.02637765207807,2.64096691024554
"TPM1",1.06728986749202,2.7963900175079,2.6200848548099
"MEIS2",0.928496400836748,2.42987691309481,2.61700197319563
"ZNF385B",0.60115452613977,1.57302445741398,2.61667240121261
"AKAP6",0.613981101799487,1.60383119390373,2.61218332160899
