"","PARSE_neuro","Multiome_neuro","multi_to_parse_ratio"
"RPL18A",0,2.48691272061953,Inf
"COX6A1",0,1.36405530272001,Inf
"COX7C",0,1.41585982747554,Inf
"KRT17",0,1.48885776392216,Inf
"COX4I1",0,1.57857323362257,Inf
"SH3BGRL3",0,1.3094197410099,Inf
"RPL32",0,2.54569623199851,Inf
"RPL10",0,2.63906550108235,Inf
"FAU",0,1.95047870899874,Inf
"CSTB",0,1.3094197410099,Inf
"RPL8",0,2.41520725112568,Inf
"S100A9",0,1.62058271637543,Inf
"GPX4",0,1.46511230830911,Inf
"KRT1",0,1.84119175665424,Inf
"PRDX2",0,1.39029299119069,Inf
"RPS9",0,2.26509877498351,Inf
"CCL19",0,2.03549730476343,Inf
"RPL15",0,2.73800550815054,Inf
"CALML3",0,1.53472126972336,Inf
"SSR4",0,1.36405530272001,Inf
"KRT10",0,2.46946260051464,Inf
"NDUFA4",0,1.44078926310718,Inf
"EID1",0,1.36405530272001,Inf
"H3F3A",0,2.61652769372952,Inf
"MTRNR2L12",0,2.12633287799854,Inf
"KIAA1211",0,1.55688760675772,Inf
"AC093817.2",0,1.6804625603625,Inf
"AC068587.4",0,2.3773294225169,Inf
"MTRNR2L8",0,1.3094197410099,Inf
"AL365295.1",0,2.28646361679354,Inf
"AC013652.1",0,1.85755463652044,Inf
"LINC01578",0,1.3371106060408,Inf
"H3F3B",0,2.87605573470432,Inf
"PLCG2",0.0675206967858701,3.01789344787381,44.6958279687861
"RPS11",0.0675206967858701,2.91626439569409,43.190673889852
"RPS4X",0.0675206967858701,2.68975864646796,39.8360617485636
"IFI27",0.0675206967858701,2.62409687590881,38.8635929547746
"RPS5",0.0675206967858701,2.5698684820998,38.0604556000019
"RPLP0",0.0675206967858701,2.520925179954,37.3355918993057
"RPL18",0.0675206967858701,2.49552490334481,36.9594068505975
"RPS15A",0.0675206967858701,2.49552490334481,36.9594068505975
"RPS23",0.0675206967858701,2.48691272061953,36.831858067258
"RPS27",0.0675206967858701,2.41520725112568,35.769880438069
"RPS15",0.0675206967858701,2.38693423264266,35.3511492959322
"UBB",0.0675206967858701,2.38693423264266,35.3511492959322
"RPL9",0.0675206967858701,2.33796018744885,34.6258302822803
"EEF1G",0.0675206967858701,2.28646361679354,33.8631519761215
"RPL36",0.0675206967858701,2.26509877498351,33.5467328212987
"METRN",0.0675206967858701,2.17475952152238,32.2087837514362
"RPL35",0.0675206967858701,2.021820063627,29.9437085200535
"RPS21",0.0675206967858701,1.9355787010902,28.6664503363841
"UBA52",0.0675206967858701,1.90509564504911,28.214987933119
