"","PARSE_neuroendocrine II","Multiome_neuroendocrine II","multi_to_parse_ratio"
"GADD45B",0,1.3812362157349,Inf
"CH25H",0,1.33479668827977,Inf
"ISG15",0,1.58571755719417,Inf
"PLCG2",0,2.94756598354132,Inf
"MIF",0,1.31074232280951,Inf
"H3F3A",0,3.05525731699493,Inf
"MTRNR2L12",0,1.75540130067905,Inf
"KIAA1211",0,1.73967139923956,Inf
"AC093817.2",0,1.70744926226935,Inf
"AC068587.4",0,2.2210577706494,Inf
"AC084816.1",0,1.69094029047303,Inf
"FAM155A",0,1.75540130067905,Inf
"AC013652.1",0,1.40367150821926,Inf
"LINC01578",0,1.80115877375656,Inf
"H3F3B",0,2.77755683386958,Inf
"RPS21",0.0213803503462742,2.0388821750173,95.3624305493477
"RPS29",0.0213803503462742,1.95301833086482,91.3464138442032
"COX8A",0.0213803503462742,1.42561448343986,66.6787241719962
"GPX4",0.0213803503462742,1.3812362157349,64.6030674598183
"RPL18",0.042313133757477,2.59980101280192,61.4419396989833
"COX6A1",0.0213803503462742,1.31074232280951,61.3059328580144
"RPL29",0.042313133757477,2.35816531610869,55.7312849864727
"FAU",0.042313133757477,2.28738596681214,54.0585336912784
"FTL",0.042313133757477,1.97831228314442,46.754095181968
"UQCRQ",0.042313133757477,1.52864018294537,36.1268487393763
"RPL12",0.0628167050016247,2.25949650924608,35.9696757285764
"COX7A2",0.042313133757477,1.42561448343986,33.6920090015301
"RPL18A",0.0829083123999964,2.63279108348504,31.7554537931369
"MT-ND3",0.121919611379289,3.86837239452023,31.728877337755
"UBA52",0.0628167050016247,1.99072331685997,31.6909859695519
"CHCHD2",0.042313133757477,1.31074232280951,30.97719800954
"RPS9",0.0829083123999964,2.55170639972381,30.7774495205371
"RPS14",0.102604185008732,3.10908393609358,30.3017263460452
"RPS28",0.0829083123999964,2.50855736168408,30.2570066748119
"RPS17",0.0829083123999964,2.33220657553736,28.1299487111194
"CEBPD",0.0628167050016247,1.73967139923956,27.694407072045
"IFI27",0.102604185008732,2.81611327853286,27.4463783157891
"RPS5",0.0829083123999964,2.25002445418884,27.1387076766615
"CCL19",0.0628167050016247,1.69094029047303,26.9186403589507
"SH3BGRL3",0.0829083123999964,2.16047876398467,26.0586508329986
"RPS15",0.102604185008732,2.65207504690601,25.847630354262
"RPL8",0.102604185008732,2.59307035730491,25.2725593705971
"ELOB",0.0628167050016247,1.58571755719417,25.2435647038977
"RPL39",0.0829083123999964,2.0621189058741,24.8722817553598
"RPL19",0.121919611379289,2.99836774297642,24.5929896679917
"RPL21",0.121919611379289,2.72569427800395,22.3564875836454
"RPS11",0.140869010855404,3.14860313474329,22.3512830509984
"TOMM7",0.0628167050016247,1.40367150821926,22.3455131590069
"DEFA5",0.0829083123999964,1.84491379362793,22.2524586524814
"RPS27",0.121919611379289,2.70175171896461,22.1601077004709
"RPS18",0.140869010855404,3.1211045396554,22.1560762065625
"ATP5MC2",0.0628167050016247,1.3812362157349,21.9883582830265
"PSMA7",0.0628167050016247,1.33479668827977,21.2490720142874
"RPL13",0.159465998239488,3.35133277710849,21.0159708910198
"RPL7",0.121919611379289,2.50855736168408,20.5755032623916
"RPLP1",0.159465998239488,3.20875479905559,20.1218744715512
"RPS19",0.140869010855404,2.76056642943342,19.5966906608511
"RPL28",0.159465998239488,3.00733341766,18.8587752302127
"RPS13",0.140869010855404,2.65207504690601,18.8265327540935
"ATP5F1E",0.0829083123999964,1.5480302173795,18.6715924202019
"RPS2",0.177723442554949,3.30933348168943,18.6206919813983
"RPS25",0.121919611379289,2.25949650924608,18.5326747984525
"RPS16",0.140869010855404,2.59980101280192,18.4554501874831
"RPL41",0.177723442554949,3.17158609212074,17.8456260273045
"PRDX2",0.0829083123999964,1.46810672281955,17.7075938506211
"RPL10A",0.140869010855404,2.34958705815175,16.6792330256617
"PCSK1N",0.0829083123999964,1.3812362157349,16.6598037730046
"RPS23",0.177723442554949,2.84277093238527,15.9954752818067
"RPL35",0.121919611379289,1.92706795511486,15.8060539507446
"RPL26",0.159465998239488,2.47112069565617,15.4962231631662
"RPL10",0.21326776542776,3.16779209384119,14.8535906844028
"RPS20",0.195653520539695,2.81611327853286,14.3933688019763
"RPS12",0.195653520539695,2.81069539878178,14.3656776071736
"RPL27A",0.195653520539695,2.77192537978822,14.167521096181
"RPL22",0.121919611379289,1.72369010840414,14.1379232504423
"RPL30",0.195653520539695,2.71976216530307,13.900910946048
"RPL37A",0.21326776542776,2.94281706152391,13.798695999001
"RNASEK",0.102604185008732,1.40367150821926,13.6804508324861
"CST3",0.140869010855404,1.92706795511486,13.6798572192213
"RPL37",0.177723442554949,2.42426439157965,13.6406562731875
"RPL34",0.195653520539695,2.65207504690601,13.5549569442475
"RPL7A",0.230577111508482,3.05099427256998,13.2319910359262
"RPS27A",0.195653520539695,2.57260223539235,13.1487653700073
"TMSB4X",0.159465998239488,2.08482793004369,13.0738085426378
"DYNLL1",0.140869010855404,1.81595752550741,12.8911072384217
"RPS4X",0.230577111508482,2.9616789170943,12.8446353487491
"METRN",0.102604185008732,1.31074232280951,12.7747452279648
"RPL13A",0.29696542063761,3.76302749499399,12.6716015855127
"RPL32",0.21326776542776,2.70175171896461,12.6683547958858
"LY6E",0.121919611379289,1.52864018294537,12.5380992085826
"RPL17",0.21326776542776,2.65207504690601,12.435423804374
"RPS24",0.230577111508482,2.80524800563709,12.1662032596583
"EEF1G",0.177723442554949,2.10703268471358,11.8556823704454
"RPL15",0.230577111508482,2.70779131467364,11.7435390571021
"RPL36",0.195653520539695,2.27817563594096,11.6439286635722
"RPL27",0.159465998239488,1.83054046408922,11.4791898228994
"RPL36A",0.159465998239488,1.83054046408922,11.4791898228994
"RPL14",0.21326776542776,2.44012836045579,11.4416182659462
"PRDX1",0.159465998239488,1.81595752550741,11.3877412461319
"IFI6",0.177723442554949,2.00298220319487,11.2702194735823
"RPL23",0.21326776542776,2.3834672152929,11.1759374911266
"MDK",0.140869010855404,1.56705141872857,11.1241742183956
"RPS3A",0.264322090878258,2.93804547959323,11.1153989052941
"RPL38",0.159465998239488,1.72369010840414,10.8091387971967
