"","PARSE_sTEC I","Multiome_sTEC I","multi_to_parse_ratio"
"GSTP1",0,1.4599920358628,Inf
"RPL29",0,2.47947387481906,Inf
"KRT19",0,1.63969518378979,Inf
"H3F3A",0,2.3825978056298,Inf
"MTRNR2L12",0,2.12522197806064,Inf
"AC092691.1",0,1.44010947939249,Inf
"AC083837.1",0,1.73381290749476,Inf
"DDX58",0,1.6878609054419,Inf
"FAM189A2",0,1.93639530625983,Inf
"MTRNR2L8",0,1.62311023061438,Inf
"AC084816.1",0,1.79197136506086,Inf
"H3F3B",0,2.31795338177187,Inf
"RPS27",0.0287518223947411,2.92939846549441,101.885662246934
"LGALS1",0.0287518223947411,2.42847846405839,84.4634622013588
"RPL39",0.0287518223947411,2.24883946486978,78.2155452268344
"CCL25",0.0287518223947411,1.6878609054419,58.7044842677736
"CH25H",0.0287518223947411,1.55387484264139,54.0443948667967
"TOMM7",0.0287518223947411,1.53579018607018,53.415403204184
"RPS15",0.0567000291032009,2.7621772038489,48.7156223292479
"SELENOW",0.0287518223947411,1.33429591103331,46.4073509050809
"RPLP0",0.0567000291032009,2.29259212327305,40.4337027605445
"S100A6",0.0567000291032009,2.24883946486978,39.66205133293
"RPS21",0.0567000291032009,1.93639530625983,34.1515751735393
"RPL18A",0.0838883236191428,2.79896595760099,33.365381936924
"C11orf96",0.0567000291032009,1.86021345216899,32.8079805529407
"S100A11",0.0567000291032009,1.65600955773634,29.206502781898
"RPS23",0.110356938481356,3.07262188782864,27.8425799964334
"RPL36",0.0838883236191428,2.33451046257088,27.8287890597228
"GABARAP",0.0567000291032009,1.51737244167149,26.7614049881647
"RPL18",0.110356938481356,2.88305032320718,26.124776229582
"S100A4",0.0567000291032009,1.44010947939249,25.3987432135407
"PPIB",0.0567000291032009,1.35637332493167,23.9219158505704
"MIF",0.0567000291032009,1.35637332493167,23.9219158505704
"APOE",0.110356938481356,2.56126498117212,23.2089165975262
"BEX3",0.0567000291032009,1.31172006002625,23.1343807185488
"RPL41",0.136142993367496,3.11488759767403,22.879529240744
"RPL10A",0.110356938481356,2.42847846405839,22.0056708484049
"CST3",0.136142993367496,2.85904498417452,21.0003094059861
"RPS29",0.110356938481356,2.15513537227435,19.5287709312309
"FAU",0.110356938481356,2.13529286088566,19.3489679060497
"RPL10",0.185802177656385,3.53306701457093,19.0152077824666
"MT-ND3",0.209736613300837,3.9631588745234,18.8958847582745
"RPS28",0.136142993367496,2.52120541814459,18.5188040587517
"RPL37A",0.1612808081666,2.85904498417452,17.7271246137431
"RPS20",0.1612808081666,2.84927913850654,17.6665727986884
"TIMP1",0.1612808081666,2.74053098564712,16.9922944757085
"RPL36AL",0.0838883236191428,1.41982357369987,16.9251632699914
"RPS14",0.185802177656385,3.08432719164982,16.6000594317783
"GAPDH",0.110356938481356,1.80599743059175,16.3650555682718
"CCL19",0.136142993367496,2.16491090785615,15.9017431180783
"RPL36A",0.136142993367496,2.16491090785615,15.9017431180783
"RPS16",0.185802177656385,2.94735251087505,15.8628523521709
"RPL12",0.1612808081666,2.47234610848228,15.329450147152
"RPS11",0.209736613300837,3.20478016737781,15.2800224860168
"RPS5",0.1612808081666,2.30957089222474,14.3201842703999
"RPL8",0.185802177656385,2.64291888658853,14.2243698105425
"RPS18",0.233111556780863,3.27129470407755,14.0331725687574
"PLCG2",0.233111556780863,3.23526031708761,13.8785925578496
"RPS17",0.185802177656385,2.56778828916984,13.8200118080349
"UBA52",0.1612808081666,2.22163849865257,13.7749712684826
"NUPR1",0.110356938481356,1.51737244167149,13.7496786568416
"NME2",0.110356938481356,1.49860910905648,13.5796546160045
"EDF1",0.110356938481356,1.41982357369987,12.8657390576283
"PFN1",0.136142993367496,1.70341404413052,12.5119479306029
"PFDN5",0.136142993367496,1.6878609054419,12.3977067324045
"BTF3",0.136142993367496,1.6878609054419,12.3977067324045
"IFITM3",0.209736613300837,2.59346413496451,12.3653380978578
"COX4I1",0.136142993367496,1.67206203977275,12.2816606159033
"RPS13",0.209736613300837,2.56778828916984,12.2429186242591
"RPL38",0.1612808081666,1.96055194546484,12.1561391448363
"RPS19",0.233111556780863,2.82945658922701,12.1377791315891
"ISG15",0.110356938481356,1.31172006002625,11.8861584788151
"CFD",0.233111556780863,2.7621772038489,11.8491645888045
"RPS8",0.278283498764928,3.19441010863374,11.4789778151098
"RPL30",0.255952569132953,2.88778300690134,11.2824927551374
"RPS4X",0.255952569132953,2.87351722622947,11.2267567227928
"RPL35",0.209736613300837,2.34268732358749,11.1696631633278
"RPL7",0.255952569132953,2.84927913850654,11.1320591473591
"RPL37",0.233111556780863,2.58710671322051,11.0981486673032
"RPL19",0.278283498764928,3.04879204105481,10.9557054391866
"RPL13",0.321502822328543,3.50799028623606,10.9112270331837
"RPSA",0.209736613300837,2.28399339620785,10.8898172820775
"PTGDS",0.342431618902708,3.60933127673543,10.540297909116
"RPS7",0.233111556780863,2.43592468117797,10.4496092549709
"RPLP2",0.278283498764928,2.89249339776405,10.3940528655183
"RPL32",0.278283498764928,2.88305032320718,10.3601195759097
"EEF1G",0.209736613300837,2.14526333142991,10.2283683219049
"RPL28",0.300126631117829,3.02438044140087,10.0770145925954
"RPS15A",0.278283498764928,2.77810981807951,9.98302030271021
"FTL",0.278283498764928,2.75141266344988,9.88708520505577
"RPL27",0.185802177656385,1.79197136506086,9.64451217775746
"RACK1",0.255952569132953,2.44331586171012,9.54597123204088
"RPS3A",0.321502822328543,3.06474153325397,9.53254939119049
"RPS2",0.342431618902708,3.2485144533355,9.48660776053647
"RPL35A",0.278283498764928,2.61849720118364,9.40945910485173
"RPLP1",0.383019299643926,3.57430527026081,9.33191949748659
"RPL26",0.300126631117829,2.70715691987408,9.0200490032864
"RPS12",0.321502822328543,2.86389237389952,8.90782965187446
