"","PARSE_transit_amplifying","Multiome_transit_amplifying","multi_to_parse_ratio"
"GSTP1",0,1.9209124840242,Inf
"H3F3A",0,2.68139787056195,Inf
"MTRNR2L12",0,2.29033773659387,Inf
"H1FX",0,1.65433860055619,Inf
"H2AFZ",0,2.20023243483638,Inf
"HIST1H4C",0,1.89762701786822,Inf
"H2AFV",0,1.4022127007233,Inf
"AC083837.1",0,2.91393510342414,Inf
"FAM189A2",0,2.27833545133167,Inf
"AC084816.1",0,2.17823309690365,Inf
"LINC01578",0,1.33560269508804,Inf
"H3F3B",0,2.59823969222382,Inf
"PLCG2",0.0184308816891864,2.8711087263959,155.777068878935
"COX6A1",0.0184308816891864,1.35942418601555,73.7579573750472
"CLDN3",0.0184308816891864,1.35605566192767,73.5751921582392
"COX8A",0.03652820449153,1.50325732622521,41.1533319841598
"DYNLL1",0.0543038274827283,1.71033252034692,31.4956164165574
"RPS15",0.105810019607016,2.98257897853932,28.1880580838824
"MZT2B",0.0543038274827283,1.52343870331829,28.053983925955
"S100A9",0.0543038274827283,1.44014797652278,26.5201928350415
"ATP5F1E",0.0543038274827283,1.34588146807801,24.7842837322301
"RPL18A",0.122405624711548,3.02033487930819,24.6748046621689
"HINT1",0.0717689883273752,1.73604290815514,24.1893183757329
"APOE",0.0717689883273752,1.62640851903942,22.6617172255589
"RPL29",0.122405624711548,2.66876649823844,21.8026459529737
"FXYD2",0.0717689883273752,1.43392452659178,19.979723276172
"MIF",0.0889343459503168,1.7497930440108,19.6751100524012
"RPS11",0.154792766490104,3.04119707162051,19.6468939768897
"RPL39",0.122405624711548,2.32678272747439,19.0087892852761
"ATP5MG",0.0717689883273752,1.35267575252273,18.8476357831948
"RPL41",0.186163804001697,3.50176402130231,18.8101228382204
"UQCRB",0.0717689883273752,1.32173122145814,18.4164672271684
"RPS27",0.154792766490104,2.84633019502716,18.3880051992554
"RPS28",0.154792766490104,2.84175829242014,18.358469564544
"UBA52",0.138730305739842,2.44593301368593,17.6308485780514
"ASCL1",0.0889343459503168,1.56261921596567,17.5704807773436
"PFDN5",0.0889343459503168,1.52913078582356,17.1939285040429
"RPL8",0.170601297951095,2.91606447605978,17.0928621943761
"HLA-DPA1",0.122405624711548,1.89369284093116,15.4706358093731
"LGALS1",0.138730305739842,2.1404566203658,15.4289043691704
"RPS5",0.170601297951095,2.60212936211298,15.2526938151368
"RPL36AL",0.0889343459503168,1.33904070536559,15.0565081584301
"RPL10A",0.186163804001697,2.73973277395437,14.716785513952
"FAU",0.170601297951095,2.42876749301805,14.2365123957866
"CHCHD2",0.105810019607016,1.50616543613761,14.2346201402436
"GPX4",0.122405624711548,1.73834776721698,14.2015350300564
"CCL19",0.246099382841359,3.44658580716274,14.0048535163718
"TIMP1",0.122405624711548,1.64679834150965,13.45361657514
"RPL36A",0.170601297951095,2.26618735943353,13.2835294141968
"CSTA",0.122405624711548,1.62124543448814,13.2448605879726
"ATP5MC2",0.105810019607016,1.38269139181054,13.0676791947107
"COX7C",0.105810019607016,1.36946220701098,12.9426514813742
"RPL15",0.246099382841359,3.05548421624996,12.4156516809292
"RPS17",0.231448887790162,2.80282366761353,12.1099033759654
"RPL18",0.246099382841359,2.97725757456055,12.0977856189089
"RPS23",0.260538336346636,3.1193916583041,11.9728701044359
"CALML3",0.154792766490104,1.83483635806247,11.8535019411245
"RPL10",0.288805453700791,3.3526247900885,11.6085923833069
"CLDN4",0.138730305739842,1.59502241568794,11.4972889822578
"RPS13",0.231448887790162,2.62420603005365,11.338166517494
"MT2A",0.122405624711548,1.37609867566754,11.2421196240807
"S100A11",0.20148782514116,2.26346762437795,11.2337687043482
"MT-ND3",0.329762169204868,3.69172946577333,11.1951273084931
"RPL13",0.343049935653018,3.66694190573342,10.6892365356465
"OAZ1",0.138730305739842,1.43392452659178,10.3360582891007
"CSTB",0.154792766490104,1.59502241568794,10.3042438729843
"RPS21",0.231448887790162,2.33948346878595,10.1079918383837
"RPS29",0.231448887790162,2.28235224046157,9.86115017554464
"RPLP2",0.302644915199889,2.97925642095928,9.84406567343637
"RPS18",0.369107224082188,3.60410556830163,9.76438642528196
"RPL12",0.274771770439075,2.64114974553724,9.61215826981345
"RPLP0",0.302644915199889,2.90178225476039,9.58807536166216
"NME2",0.154792766490104,1.47669660964289,9.53982956133354
"RPL28",0.356163450251617,3.38019259477653,9.49056561640039
"RPS14",0.343049935653018,3.25144902781562,9.47806336598278
"COX4I1",0.186163804001697,1.75206646358863,9.41142384248149
"RPL30",0.316295457569295,2.91606447605978,9.2194320413878
"RPS27A",0.343049935653018,3.10540840049949,9.05235091966463
"RPL35",0.288805453700791,2.58746442468077,8.95919516589685
"RPS20",0.329762169204868,2.94953185710845,8.94442156363919
"RPL36",0.288805453700791,2.55950080402024,8.8623700529975
"FTL",0.20148782514116,1.77673879351903,8.81809505003225
"RPS4X",0.356163450251617,3.11649456031518,8.75018073335007
"RPS7",0.302644915199889,2.64021592199078,8.72380730483111
"HLA-DPB1",0.20148782514116,1.74751444421736,8.67305229481271
"RPS15A",0.356163450251617,3.00682868872465,8.44227190241007
"RPL14",0.316295457569295,2.64021592199078,8.3473090074724
"RPL37",0.316295457569295,2.63459459371595,8.32953661099845
"TMSB4X",0.288805453700791,2.37664560473046,8.229226887082
"RPL27A",0.369107224082188,3.01585305383731,8.17066927188013
"RPS3A",0.394502737793514,3.17945911470706,8.05940950496322
"RPS19",0.419269259984527,3.35399850083679,7.99962892810355
"S100A14",0.20148782514116,1.61083859824531,7.99471926959741
"RPS25",0.316295457569295,2.51391435244759,7.94799385285775
"SRP14",0.186163804001697,1.46768391833592,7.88383072749491
"RPL24",0.316295457569295,2.489231444419,7.86995634887882
"PSMA7",0.186163804001697,1.46466154626761,7.867595712936
"RPLP1",0.523701855326743,4.09115180399457,7.81198646211031
